brand,model,year,title,Μάρκα-μοντέλο,Νούμεροαγγελίας,Τιμή,Κατάσταση,Κατηγορία,Χρονολογία,Χιλιόμετρα,Καύσιμο,Κυβικά,Αυτονομίαμπαταρίας,Ίπποι,Σασμάν,Χρώμα,Χρώμαεσωτερικού,Επένδυσησαλονιού,Κτέομέχρι,Ρύποι(co2),Μέγεθοςζάντας,Κλάσηρύπων,Τέληκυκλοφορίας,Κατανάλωση,Πινακίδα,Κίνηση,Αερόσακοι,Πόρτες,Καθίσματα,Τελευταίααλλαγή,Εμφανίσειςαγγελίας,Σύνδεσμος,Τηλέφωνο,extras,Kilowatt,Χρόνοςφόρτισηςμπαταρίας,Χρόνοςγρήγορηςφόρτισηςμπαταρίας,Χωρητικότηταμπαταρίας,Σύνολοκατόχων,Χρηματοδότηση,Παράδοσηστοσπίτι
Audi,A3,2017,Audi A3 '17 Sportback e-tron S tronic S line,AudiA3Sportbacke-tronStronicSlineAmbition'17,331087628,27.900€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2017,49.800χλμ,Υβριδικόβενζίνη,1.395cc,50χλμ,204bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα-ύφασμα,6/2024,35g/km,18ίντσες,Euro6,0€,"1,60(Μικτό)λ/100χλμ",Χωρίς,Προσθιοκίνητο(FWD),7,5,5,12λεπτάπριν,1154,www.car.gr/331087628,"2109637700,6945777727,6945777737","['{Abs', '{Bluetooth', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Πιστωτική κάρτα δεκτή', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Ράδιοκασετ\\u002Fνο', '{Τηλέφωνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",,,,,,,
Fiat,500,2010,Fiat 500 '10 Abarth C 1.4 16V Sport,Fiat500AbarthC1.416VSportDualogic'10,332743785,14.950€,Μεταχειρισμένο,Κάμπριο/Roadster,7/2010,151.205χλμ,Βενζίνη,1.368cc,,140bhp,Αυτόματο,Γκρι(Μεταλλικό),Δίχρωμο,Δέρμα,12/2023,151g/km,17ίντσες,Euro5,255€,"6,50(Μικτό)λ/100χλμ",Μονό,Προσθιοκίνητο(FWD),5,3,4,12λεπτάπριν,681,www.car.gr/332743785,"2109637700,6945777727,6945777737","['{Abs', '{Bluetooth', '{Bucket καθίσματα', '{Esp', '{Hill assist', '{Immobilizer', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κάμερα οπισθοπορείας', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,,,,,
Smart,ForTwo,2017,Smart ForTwo '17 Electric Drive Passion,"SmartForTwoElectricDrivePassionCoupe,panorama'17",331969252,13.200€,Μεταχειρισμένο,Κόμπακτ/Hatchback,12/2017,20.575χλμ,Ηλεκτρικό,,160χλμ,82bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Ύφασμα,,,15ίντσες,,,,Χωρίς,Πισωκίνητο(RWD),5,3,2,12λεπτάπριν,834,www.car.gr/331969252,"2109637700,6945777727,6945777737","['{Abs', '{Android auto', '{Bluetooth', '{Cruise control', '{Esp', '{Hill assist', '{Immobilizer', '{Tcs - asr', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",61kw,6ώρες,3ώρες,18kwh,,,
Ford,TransitCourier,2018,Ford Transit Courier '18,FordTransitCourierTourneo'18,329669485,10.000€Χωρίςφπα,Μεταχειρισμένο,Van/MiniBus,11/2018,200.800χλμ,Πετρέλαιο,1.498cc,,100bhp,Χειροκίνητο,Μπλέ(Μεταλλικό),Μαύρο,Ύφασμα,,117g/km,15ίντσες,Euro6,,"4,50(Μικτό)λ/100χλμ",Χωρίς,Προσθιοκίνητο(FWD),4,4,2,12λεπτάπριν,842,www.car.gr/329669485,"2109637700,6945777727,6945777737","['Abs', 'Bluetooth', 'Cd player', 'Cruise control', 'Dvd', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός(a\\u002Fc)', 'Μη καπνιστή', 'Οθόνη tft', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Συρόμενες πόρτες χ2', 'Τιμή χωρίς φπα', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,,,
Mini,Countryman,2019,Mini Countryman '19 Cooper,MiniCountrymanCooperSE'19,333061416,34.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,12/2019,49.077χλμ,Υβριδικόplug-inβενζίνη,1.499cc,51χλμ,220bhp,Αυτόματο,Γκρι(Μεταλλικό),Γκρι,Ύφασμα,,43g/km,17ίντσες,Euro6,0€,"1,90(Μικτό)λ/100χλμ",Χωρίς,4x4(4WD),8,5,5,12λεπτάπριν,252,www.car.gr/333061416,"2109637700,6945777727,6945777737","['{Abs', '{Adaptive cruise control (acc)', '{Android auto', '{Apple carplay', '{Bluetooth', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Αυτόματο παρκάρισμα', '{Βιβλίο service', '{Εγγύηση', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,,10kwh,,,
Bmw,X1,2020,Bmw X1 '20  xDrive25e Sport Line,BmwX1xDrive25eSportLineSteptronic'20,329006950,41.500€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,8/2020,34.556χλμ,Υβριδικόplug-inβενζίνη,1.499cc,50χλμ,220bhp,Αυτόματο,Ασπρο(Μεταλλικό),Μαύρο,Δέρμα,,41g/km,18ίντσες,Euro6,0€,"1,80(Μικτό)λ/100χλμ",Χωρίς,AWD,10,5,5,12λεπτάπριν,2307,www.car.gr/329006950,"2109637700,6945777727,6945777737","['{Abs', '{Android auto', '{Apple carplay', '{Bluetooth', '{Bucket καθίσματα', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led', '{Φώτα που στρίβουν']",,3ώρες,,10kwh,,,
Bmw,225ActiveTourer,2016,Bmw 225 Active Tourer '16 XE Luxury,Bmw225ActiveTourerXELuxuryLine'16,330875864,25.400€,Μεταχειρισμένο,4χ4/Τζιπ/Suv,1/2016,67.760χλμ,Υβριδικόplug-inβενζίνη,1.499cc,,224bhp,Αυτόματο,Γκρι(Μεταλλικό),Μαύρο,Δέρμα,,46g/km,17ίντσες,Euro6,0€,2(Μικτό)λ/100χλμ,Χωρίς,AWD,8,5,5,12λεπτάπριν,430,www.car.gr/330875864,"2109637700,6945777727,6945777737","['{Abs', '{Adaptive cruise control (acc)', '{Bluetooth', '{Bucket καθίσματα', '{Cd player', '{Cruise control', '{Dvd', '{Eco start\\u002Fstop', '{Esp', '{Head-up display', '{Hill assist', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Keyless', '{Lane assist', '{Navigation - gps', '{Parktronic', '{Tcs - asr', '{Turbo', '{Usb', '{Αισθητήρας βροχής', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Δερμάτινα καθίσματα', '{Ζάντες αλουμινίου', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Θερμαινόμενα καθίσματα', '{Κεντρικό κλείδωμα', '{Κλιματισμός αυτόματος', '{Μη καπνιστή', '{Οθόνη tft', '{Οροφή ηλεκτρική \\u002F ηλίου', '{Οροφή πανοραμική', '{Προβολείς ομίχλης', '{Ράγες οροφής', '{Ράδιοκασετ\\u002Fνο', '{Σύστημα μη σύγκρουσης', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,,,,,
Peugeot,208,2019,Peugeot 208 '19 1.2 PureTech 82,Peugeot2081.2PureTech82LPG'19,330264478,10.990€,Μεταχειρισμένο,Κόμπακτ/Hatchback,3/2019,86.453χλμ,Βενζίνη,1.199cc,,82bhp,Χειροκίνητο,Ασπρο(Μεταλλικό),Μαύρο,Ύφασμα,,110g/km,15ίντσες,Euro6,107€,,Μονό,Προσθιοκίνητο(FWD),6,5,5,12λεπτάπριν,524,www.car.gr/330264478,"2109637700,6945777727,6945777737","['{Abs', '{Bluetooth', '{Cruise control', '{Eco start\\u002Fstop', '{Esp', '{Immobilizer', '{Isofix -παιδικά καθίσματα', '{Tcs - asr', '{Usb', '{Ανταλλαγή με car δεκτή', '{Ατρακάριστο', '{Βιβλίο service', '{Ηλεκτρικά παράθυρα', '{Ηλεκτρικοί καθρέφτες', '{Κεντρικό κλείδωμα', '{Κλιματισμός(a\\u002Fc)', '{Μη καπνιστή', '{Οθόνη tft', '{Προβολείς ομίχλης', '{Ράδιοκασετ\\u002Fνο', '{Τιμόνι πολλών χρήσεων', '{Υδραυλικό τιμόνι', '{Υπολογιστής ταξιδιού', '{Φώτα led']",,,,,,,
Opel,Astra,2015,Opel Astra '15 CDTI * EURO,OpelAstraCDTI*EURO6'15,330272125,12.200€,Μεταχειρισμένο,Κόμπακτ/Hatchback,1/2015,120.000χλμ,Πετρέλαιο,1.600cc,,136bhp,Χειροκίνητο,Μαύρο(Μεταλλικό),,Δέρμα-ύφασμα,12/2024,,17ίντσες,Euro6,101€,,Μονό,,8,5,5,15ώρεςπριν,621,www.car.gr/330272125,6947423355,"['Abs', 'Bucket καθίσματα', 'Cd player', 'Cruise control', 'Eco start\\u002Fstop', 'Esp', 'Hill assist', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Navigation - gps', 'Parktronic', 'Tcs - asr', 'Turbo', 'Usb', 'Ατρακάριστο', 'Βιβλίο service', 'Ελληνικής αντιπροσωπείας', 'Ζάντες αλουμινίου', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Προβολείς ομίχλης', 'Ράδιοκασετ\\u002Fνο', 'Συναγερμός', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Υπολογιστής ταξιδιού']",,,,,1,,
Toyota,Yaris,2018,Toyota Yaris '18 Team,ToyotaYarisTeamD'18,333956769,17.500€,Μεταχειρισμένο,Κόμπακτ/Hatchback,8/2018,42.700χλμ,Υβριδικόβενζίνη,1.498cc,,101bhp,Αυτόματο,Ασπρο(Μεταλλικό),Ασπρο,Ύφασμα,5/2025,1g/km,15ίντσες,Euro6,0€,5(Εντός)/5(Εκτός)/5(Μικτό)λ/100χλμ,Μονό,Προσθιοκίνητο(FWD),8,4,5,4ώρεςπριν,1690,www.car.gr/333956769,6984521020,"['Abs', 'Bluetooth', 'Cruise control', 'Immobilizer', 'Isofix -παιδικά καθίσματα', 'Lane assist', 'Usb', 'Αισθητήρας βροχής', 'Ατρακάριστο', 'Βιβλίο service', 'Εισαγωγής', 'Επέκταση εγγύησης', 'Ζάντες αλουμινίου', 'Ηλεκτρικά καθίσματα', 'Ηλεκτρικά παράθυρα', 'Ηλεκτρικοί καθρέφτες', 'Θερμαινόμενα καθίσματα', 'Κάμερα οπισθοπορείας', 'Κεντρικό κλείδωμα', 'Κλιματισμός αυτόματος', 'Μη καπνιστή', 'Προβολείς ομίχλης', 'Τηλέφωνο', 'Τιμόνι πολλών χρήσεων', 'Υδραυλικό τιμόνι', 'Φώτα led']",,,,,1,,
